feature,coeff,coeff*10000
surv_opt_out_sts,-0.200030946,-2000.309457
cntc_bind_end_dt,4.73E-05,0.472859759
dnc_vod_opt_out_sts,-0.200030946,-2000.309457
bind_prg,-0.000262587,-2.625872657
dum_cntc_bind,-5.01E-05,-0.500952321
ofr_nm,-0.000262587,-2.625872657
non_cmhk_opt_out,-2.52E-06,-0.025225711
non_cmhk_opt_out_sts,-0.200030946,-2000.309457
bil_opt_out_sts,-0.200030946,-2000.309457
mlti_sim_cnt,-6.52E-05,-0.651657154
hs_os_sys,-5.10E-05,-0.510419602
eml_opt_out_sts,-0.200030946,-2000.309457
ofr_ent_oult,0.000203935,2.039349459
cntc_bind_eff_dt,4.73E-05,0.472859759
上次消费方式,-0.000118886,-1.188864597
asgn_ofr_nm,-0.000995368,-9.953675406
cntc_bind_prg,4.73E-05,0.472859759
cmhk_opt_out_sts,-0.200030946,-2000.309457
ofr_eff_dt,0.000661824,6.618241028
ofr_asgn_dt,0.000203935,2.039349459
dno,0.000113293,1.132930636
voc_opt_out_sts,-0.200030946,-2000.309457
asgn_ofr_cd,0.000203935,2.039349459
dum_cntc_bind_end_dt,-5.01E-05,-0.500952321
hs_type,1.87E-05,0.186959954
auto_ext_ind,-5.32E-05,-0.532235197
tes_opt_out_sts,-0.200030946,-2000.309457
act_rsn,-6.60E-05,-0.659598208
bind_end_dt,-0.000262587,-2.625872657
ofr_ent_user_grp,0.000203935,2.039349459
sms_opt_out_sts,-0.200030946,-2000.309457
vip_lvl,3.00E-05,0.29996563
main_cust_cd,0.000113293,1.132930636
vip_lvl_exp_dt,3.00E-05,0.29996563
cmhk_opt_out,-2.52E-06,-0.025225711
hs_brnd_nm,-9.67E-05,-0.966789329
dnc_sms_opt_out_sts,-0.200030946,-2000.309457
rt_plan_nm_monitoring,-7.62E-05,-0.761719454
